1
###### Objects ####### 
4,4,792,592;
100,100,25,25;
200,150,400,300;
100,50,20,20;
160,50,20,20;
220,50,20,20;
280,50,20,20;
340,50,20,20;
400,50,20,20;
460,50,20,20;
520,50,20,20;
580,50,20,20;
640,50,20,20;
30,200,5,5;
30,230,5,5;
30,260,5,5;
30,290,5,5;
30,320,5,5;
30,350,5,5;
30,380,5,5;
30,410,5,5;
30,440,5,5;
30,470,5,5;
30,200,5,5;
50,200,5,5;
70,200,5,5;
90,200,5,5;
110,200,5,5;
250,500,15,15;
300,500,15,15;
350,500,15,15;
400,500,15,15;
450,500,15,15;
500,500,15,15;
250,550,15,15;
300,550,15,15;
350,550,15,15;
400,550,15,15;
450,550,15,15;
500,550,15,15;
